pan,tilt,voltage
80.0,62.0,1.5542521994134897
80.0,64.0,1.5591397849462365
80.0,66.0,1.5542521994134897
80.0,68.0,1.5786901270772238
80.0,70.0,1.573802541544477
80.0,72.0,1.5835777126099706
80.0,74.0,1.6275659824046922
80.0,76.0,1.5933528836754642
80.0,78.0,1.6226783968719452
80.0,80.0,1.6129032258064515
80.0,82.0,1.6422287390029326
80.0,84.0,1.6471163245356795
80.0,86.0,1.6422287390029326
80.0,88.0,1.6226783968719452
80.0,90.0,1.6226783968719452
80.0,92.0,1.6422287390029326
80.0,94.0,1.6275659824046922
80.0,96.0,1.6129032258064515
80.0,98.0,1.598240469208211
80.0,100.0,1.598240469208211
82.0,62.0,1.5542521994134897
82.0,64.0,1.544477028347996
82.0,66.0,1.5542521994134897
82.0,68.0,1.573802541544477
82.0,70.0,1.6031280547409579
82.0,72.0,1.5689149560117301
82.0,74.0,1.6226783968719452
82.0,76.0,1.6226783968719452
82.0,78.0,1.6226783968719452
82.0,80.0,1.6129032258064515
82.0,82.0,1.6422287390029326
82.0,84.0,1.6129032258064515
82.0,86.0,1.6422287390029326
82.0,88.0,1.6129032258064515
82.0,90.0,1.6226783968719452
82.0,92.0,1.6422287390029326
82.0,94.0,1.5884652981427174
82.0,96.0,1.6226783968719452
82.0,98.0,1.5933528836754642
82.0,100.0,1.5835777126099706
84.0,62.0,1.5542521994134897
84.0,64.0,1.5542521994134897
84.0,66.0,1.544477028347996
84.0,68.0,1.5640273704789833
84.0,70.0,1.5689149560117301
84.0,72.0,1.656891495601173
84.0,74.0,1.6177908113391983
84.0,76.0,1.6422287390029326
84.0,78.0,1.6422287390029326
84.0,80.0,1.6422287390029326
84.0,82.0,1.6471163245356795
84.0,84.0,1.6129032258064515
84.0,86.0,1.6422287390029326
84.0,88.0,1.6373411534701858
84.0,90.0,1.6226783968719452
84.0,92.0,1.6471163245356795
84.0,94.0,1.6373411534701858
84.0,96.0,1.6129032258064515
84.0,98.0,1.6177908113391983
84.0,100.0,1.598240469208211
86.0,62.0,1.5640273704789833
86.0,64.0,1.5786901270772238
86.0,66.0,1.573802541544477
86.0,68.0,1.5689149560117301
86.0,70.0,1.5933528836754642
86.0,72.0,1.6031280547409579
86.0,74.0,1.6226783968719452
86.0,76.0,1.6373411534701858
86.0,78.0,1.6422287390029326
86.0,80.0,1.6666666666666667
86.0,82.0,1.6520039100684263
86.0,84.0,1.66177908113392
86.0,86.0,1.66177908113392
86.0,88.0,1.66177908113392
86.0,90.0,1.6666666666666667
86.0,92.0,1.6422287390029326
86.0,94.0,1.6177908113391983
86.0,96.0,1.6422287390029326
86.0,98.0,1.6031280547409579
86.0,100.0,1.6031280547409579
88.0,62.0,1.5640273704789833
88.0,64.0,1.544477028347996
88.0,66.0,1.5786901270772238
88.0,68.0,1.5689149560117301
88.0,70.0,1.5933528836754642
88.0,72.0,1.6031280547409579
88.0,74.0,1.6226783968719452
88.0,76.0,1.6422287390029326
88.0,78.0,1.6422287390029326
88.0,80.0,1.6422287390029326
88.0,82.0,1.66177908113392
