pan,tilt,voltage
80.0,72.0,1.7741935483870968
80.0,74.0,1.7595307917888563
80.0,76.0,1.7839687194525904
80.0,78.0,1.7790811339198436
80.0,80.0,1.7790811339198436
80.0,82.0,1.8035190615835777
80.0,84.0,1.7986314760508308
80.0,86.0,1.7790811339198436
80.0,88.0,1.7595307917888563
80.0,90.0,1.7741935483870968
82.0,72.0,1.76930596285435
82.0,74.0,1.7741935483870968
82.0,76.0,1.76930596285435
82.0,78.0,1.7986314760508308
82.0,80.0,1.7986314760508308
82.0,82.0,1.7790811339198436
82.0,84.0,1.7986314760508308
82.0,86.0,1.7986314760508308
82.0,88.0,1.7741935483870968
82.0,90.0,1.7839687194525904
84.0,72.0,1.7986314760508308
84.0,74.0,1.7986314760508308
84.0,76.0,1.7790811339198436
84.0,78.0,1.8035190615835777
84.0,80.0,1.8084066471163245
84.0,82.0,1.8035190615835777
84.0,84.0,1.7790811339198436
84.0,86.0,1.7986314760508308
84.0,88.0,1.8035190615835777
84.0,90.0,1.7986314760508308
86.0,72.0,1.7790811339198436
86.0,74.0,2.1358748778103616
86.0,76.0,1.8035190615835777
86.0,78.0,1.8084066471163245
86.0,80.0,1.8035190615835777
86.0,82.0,1.823069403714565
86.0,84.0,1.823069403714565
86.0,86.0,1.7986314760508308
86.0,88.0,1.7986314760508308
86.0,90.0,1.7741935483870968
88.0,72.0,1.8035190615835777
88.0,74.0,1.8084066471163245
88.0,76.0,1.823069403714565
88.0,78.0,1.8035190615835777
88.0,80.0,1.8084066471163245
88.0,82.0,1.8035190615835777
88.0,84.0,1.8181818181818181
88.0,86.0,1.823069403714565
88.0,88.0,1.7986314760508308
88.0,90.0,1.7986314760508308
90.0,72.0,1.7986314760508308
90.0,74.0,1.8279569892473118
90.0,76.0,1.823069403714565
90.0,78.0,1.823069403714565
90.0,80.0,1.823069403714565
90.0,82.0,1.8181818181818181
90.0,84.0,1.8279569892473118
90.0,86.0,1.823069403714565
90.0,88.0,1.7986314760508308
90.0,90.0,1.7741935483870968
92.0,72.0,1.823069403714565
92.0,74.0,1.8084066471163245
92.0,76.0,1.8035190615835777
92.0,78.0,1.8181818181818181
92.0,80.0,1.7986314760508308
92.0,82.0,1.8279569892473118
92.0,84.0,1.8084066471163245
92.0,86.0,1.7986314760508308
92.0,88.0,1.7986314760508308
92.0,90.0,1.7741935483870968
94.0,72.0,1.823069403714565
94.0,74.0,1.8181818181818181
94.0,76.0,1.8084066471163245
94.0,78.0,1.8181818181818181
94.0,80.0,1.823069403714565
94.0,82.0,1.8181818181818181
94.0,84.0,1.8035190615835777
94.0,86.0,1.8084066471163245
94.0,88.0,1.7790811339198436
94.0,90.0,1.8035190615835777
96.0,72.0,1.7790811339198436
96.0,74.0,1.8181818181818181
96.0,76.0,1.8181818181818181
96.0,78.0,1.7986314760508308
96.0,80.0,1.8181818181818181
96.0,82.0,1.823069403714565
96.0,84.0,2.2873900293255134
96.0,86.0,1.8035190615835777
96.0,88.0,1.7986314760508308
96.0,90.0,1.793743890518084
98.0,72.0,1.7986314760508308
98.0,74.0,1.7790811339198436
98.0,76.0,1.7986314760508308
98.0,78.0,1.8181818181818181
98.0,80.0,1.7986314760508308
98.0,82.0,1.823069403714565
98.0,84.0,1.793743890518084
98.0,86.0,1.793743890518084
98.0,88.0,1.7741935483870968
98.0,90.0,1.7986314760508308
