pan,tilt,voltage
70.0,57.0,1.3391984359726294
70.0,58.0,1.3685239491691104
70.0,59.0,1.3978494623655915
70.0,60.0,1.4711632453567938
70.0,61.0,1.3343108504398826
70.0,62.0,1.295210166177908
70.0,63.0,1.2512218963831867
70.0,64.0,1.133919843597263
70.0,65.0,1.0166177908113392
70.0,66.0,0.9384164222873901
70.0,67.0,0.9384164222873901
70.0,68.0,0.9384164222873901
70.0,69.0,0.9481915933528837
70.0,70.0,0.9384164222873901
70.0,71.0,0.9384164222873901
70.0,72.0,0.9726295210166178
70.0,73.0,0.9775171065493646
70.0,74.0,0.9775171065493646
70.0,75.0,0.9384164222873901
70.0,76.0,0.9384164222873901
70.0,77.0,0.9384164222873901
70.0,78.0,0.9726295210166178
70.0,79.0,0.9384164222873901
70.0,80.0,0.9726295210166178
70.0,81.0,0.9384164222873901
70.0,82.0,0.9921798631476051
70.0,83.0,0.9579667644183774
70.0,84.0,0.9970674486803519
70.0,85.0,0.9970674486803519
70.0,86.0,0.9775171065493646
70.0,87.0,0.9921798631476051
70.0,88.0,0.9775171065493646
70.0,89.0,0.9921798631476051
70.0,90.0,0.9921798631476051
70.0,91.0,0.9481915933528837
70.0,92.0,0.9970674486803519
70.0,93.0,0.9579667644183774
70.0,94.0,0.9921798631476051
70.0,95.0,0.9921798631476051
70.0,96.0,0.9970674486803519
70.0,97.0,0.9970674486803519
70.0,98.0,0.9530791788856305
70.0,99.0,0.8406647116324536
70.0,100.0,0.5669599217986315
70.0,101.0,0.27370478983382207
70.0,102.0,0.23460410557184752
70.0,103.0,0.26392961876832843
70.0,104.0,0.19550342130987292
70.0,105.0,0.23460410557184752
70.0,106.0,0.19550342130987292
71.0,57.0,1.4076246334310851
71.0,58.0,1.4076246334310851
71.0,59.0,1.5640273704789833
71.0,60.0,1.6715542521994136
71.0,61.0,1.4027370478983383
71.0,62.0,1.2756598240469208
71.0,63.0,1.2121212121212122
71.0,64.0,1.1436950146627567
71.0,65.0,0.9433040078201369
71.0,66.0,0.9384164222873901
71.0,67.0,0.9481915933528837
71.0,68.0,0.9481915933528837
71.0,69.0,0.9384164222873901
71.0,70.0,0.9579667644183774
71.0,71.0,0.9726295210166178
71.0,72.0,0.9726295210166178
71.0,73.0,0.9726295210166178
71.0,74.0,0.9775171065493646
71.0,75.0,0.9384164222873901
71.0,76.0,0.9384164222873901
71.0,77.0,0.9384164222873901
71.0,78.0,0.9775171065493646
71.0,79.0,0.9384164222873901
71.0,80.0,0.9921798631476051
71.0,81.0,0.9921798631476051
71.0,82.0,0.9579667644183774
71.0,83.0,0.9775171065493646
71.0,84.0,0.9775171065493646
71.0,85.0,0.9970674486803519
71.0,86.0,0.9970674486803519
71.0,87.0,0.9775171065493646
71.0,88.0,0.9921798631476051
71.0,89.0,0.9921798631476051
71.0,90.0,0.9775171065493646
71.0,91.0,0.9579667644183774
71.0,92.0,0.9921798631476051
71.0,93.0,0.9872922776148583
71.0,94.0,0.9775171065493646
71.0,95.0,0.9872922776148583
71.0,96.0,0.9775171065493646
71.0,97.0,0.9775171065493646
71.0,98.0,0.9726295210166178
71.0,99.0,0.7429130009775171
71.0,100.0,0.5425219941348973
71.0,101.0,0.27370478983382207
71.0,102.0,0.23460410557184752
71.0,103.0,0.2590420332355816
71.0,104.0,0.16617790811339198
71.0,105.0,0.16617790811339198
71.0,106.0,0.15640273704789834
72.0,57.0,1.3391984359726294
72.0,58.0,1.3734115347018572
72.0,59.0,1.3294232649071358
72.0,60.0,1.3294232649071358
72.0,61.0,1.300097751710655
72.0,62.0,1.2854349951124144
72.0,63.0,1.2512218963831867
72.0,64.0,1.133919843597263
72.0,65.0,1.0166177908113392
72.0,66.0,0.9384164222873901
72.0,67.0,0.9384164222873901
72.0,68.0,0.9384164222873901
72.0,69.0,0.967741935483871
72.0,70.0,0.9384164222873901
72.0,71.0,0.9726295210166178
72.0,72.0,0.9970674486803519
72.0,73.0,0.9970674486803519
72.0,74.0,0.9481915933528837
72.0,75.0,0.9481915933528837
72.0,76.0,0.9579667644183774
72.0,77.0,0.9775171065493646
72.0,78.0,0.9775171065493646
72.0,79.0,0.9775171065493646
72.0,80.0,0.9579667644183774
72.0,81.0,0.9872922776148583
72.0,82.0,0.9481915933528837
72.0,83.0,0.9433040078201369
72.0,84.0,0.9970674486803519
72.0,85.0,0.9970674486803519
72.0,86.0,0.9970674486803519
72.0,87.0,0.9579667644183774
72.0,88.0,0.9481915933528837
72.0,89.0,0.9921798631476051
72.0,90.0,0.9433040078201369
72.0,91.0,0.9921798631476051
72.0,92.0,0.9579667644183774
72.0,93.0,0.9921798631476051
72.0,94.0,1.0557184750733137
72.0,95.0,1.0068426197458455
72.0,96.0,0.9970674486803519
72.0,97.0,0.9970674486803519
72.0,98.0,0.9579667644183774
72.0,99.0,0.7624633431085044
72.0,100.0,0.43010752688172044
72.0,101.0,0.27370478983382207
72.0,102.0,0.27370478983382207
72.0,103.0,0.23460410557184752
72.0,104.0,0.17595307917888564
72.0,105.0,0.17595307917888564
72.0,106.0,0.23460410557184752
73.0,57.0,1.35386119257087
73.0,58.0,1.35386119257087
73.0,59.0,1.3391984359726294
73.0,60.0,1.300097751710655
73.0,61.0,1.3294232649071358
73.0,62.0,1.3049853372434017
73.0,63.0,1.2903225806451613
73.0,64.0,1.1730205278592376
73.0,65.0,0.967741935483871
73.0,66.0,0.967741935483871
73.0,67.0,0.9726295210166178
73.0,68.0,0.9726295210166178
73.0,69.0,0.9384164222873901
73.0,70.0,0.9775171065493646
73.0,71.0,0.9726295210166178
73.0,72.0,0.9579667644183774
73.0,73.0,0.9872922776148583
73.0,74.0,0.9921798631476051
73.0,75.0,0.9433040078201369
73.0,76.0,1.133919843597263
73.0,77.0,0.9775171065493646
73.0,78.0,0.9872922776148583
73.0,79.0,0.9970674486803519
73.0,80.0,0.9481915933528837
73.0,81.0,0.9579667644183774
73.0,82.0,0.9921798631476051
73.0,83.0,0.9970674486803519
73.0,84.0,0.9970674486803519
73.0,85.0,0.9775171065493646
73.0,86.0,1.0166177908113392
73.0,87.0,1.0166177908113392
73.0,88.0,0.9775171065493646
73.0,89.0,0.9579667644183774
73.0,90.0,0.9579667644183774
73.0,91.0,0.9481915933528837
73.0,92.0,0.9921798631476051
73.0,93.0,0.9872922776148583
73.0,94.0,0.9775171065493646
73.0,95.0,0.9970674486803519
73.0,96.0,0.9970674486803519
73.0,97.0,0.9481915933528837
73.0,98.0,0.9579667644183774
73.0,99.0,0.8602150537634409
73.0,100.0,0.5083088954056696
73.0,101.0,0.3128054740957967
73.0,102.0,0.30303030303030304
73.0,103.0,0.23460410557184752
73.0,104.0,0.23460410557184752
73.0,105.0,0.23460410557184752
73.0,106.0,0.21994134897360704
74.0,57.0,1.3294232649071358
74.0,58.0,1.35386119257087
74.0,59.0,1.4956011730205279
74.0,60.0,1.5395894428152492
74.0,61.0,1.2512218963831867
74.0,62.0,1.270772238514174
74.0,63.0,1.3098729227761485
74.0,64.0,1.2121212121212122
74.0,65.0,0.9775171065493646
74.0,66.0,0.9384164222873901
74.0,67.0,0.9384164222873901
74.0,68.0,0.9384164222873901
74.0,69.0,0.9726295210166178
74.0,70.0,0.9970674486803519
74.0,71.0,0.9726295210166178
74.0,72.0,0.9970674486803519
74.0,73.0,0.9921798631476051
74.0,74.0,0.9433040078201369
74.0,75.0,0.9579667644183774
74.0,76.0,0.9921798631476051
74.0,77.0,0.9775171065493646
74.0,78.0,0.9579667644183774
74.0,79.0,0.9921798631476051
74.0,80.0,0.9481915933528837
74.0,81.0,0.9579667644183774
74.0,82.0,0.9970674486803519
74.0,83.0,0.9970674486803519
